"Sample_ID","N","mean_concentration_ng.uL","sd","se","ci"
"0723FENC_05",2,55.4,1.97989898732233,1.4,17.7886866306446
"0723FENC_06",2,74.2,6.50538238691624,4.6,58.4485417864036
"0723FENC_07",2,67.8,1.4142135623731,1,12.7062047361747
"0723FENC_08",2,52.4,2.82842712474619,2,25.4124094723494
"0723FENC_09",2,74,7.91959594928932,5.59999999999999,71.1547465225782
"0723FENC_10",2,54.8,7.35391052434009,5.2,66.0722646281084
"0723FENC_11",2,37.65,5.02045814642449,3.55,45.1070268134202
"0723FENC_12",2,59.8,5.939696961967,4.2,53.3660598919337
"0723FENC_13",2,20.01,18.5120555314638,13.09,166.324219996527
"0723FENC_14",2,15.1,1.27279220613579,0.9,11.4355842625572
"0723FENC_15",2,35.1,2.26274169979695,1.6,20.3299275778795
"0723FENC_16",2,56.6,11.5965512114594,8.2,104.190878836632
"0723FENC_17",2,147.5,16.2634559672906,11.5,146.121354466009
"0723FENC_18",2,63.2,11.3137084989848,8,101.649637889398
"0723FENC_19",2,74.6,8.20243866176396,5.8,73.6959874698133
"0723FENC_20",2,50.6,2.54558441227157,1.8,22.8711685251145
"0723FENC_21",2,167,9.89949493661167,7,88.9434331532228
"0723FENC_22",2,64.8,2.82842712474619,2,25.4124094723494
"0723FENC_23",2,92.8,9.05096679918781,6.4,81.319710311518
"0723FENC_24",2,131.5,21.920310216783,15.5,196.946173410708
"0723FENC_25",2,46.2,4.24264068711928,3,38.1186142085241
"0723FENC_26",2,137.5,13.4350288425444,9.5,120.70894499366
"0723FENC_27",2,63.6,4.5254833995939,3.2,40.659855155759
"0723FENC_28",2,24.95,1.06066017177982,0.75,9.52965355213102
"0723FENC_29",2,9.92,0.678822509939086,0.48,6.09897827336386
"0723FENC_30",2,15.95,1.20208152801713,0.85,10.8002740257485
"0723GOLD_01",2,45.4,5.37401153701776,3.8,48.2835779974638
"0723GOLD_02",2,63.4,13.2936074863071,9.4,119.438324520042
"0723GOLD_03",2,76.6,14.4249783362056,10.2,129.603288308982
"0723GOLD_04",2,191.5,20.5060966544099,14.5,184.239968674533
"0723GOLD_05",2,80,1.13137084989847,0.799999999999997,10.1649637889397
"0723GOLD_06",2,47.4,4.24264068711928,3,38.1186142085241
"0723GOLD_07",2,54.8,5.09116882454314,3.6,45.7423370502289
"0723GOLD_08",2,67.2,13.0107647738325,9.2,116.897083572807
"0723GOLD_09",2,20.3,9.61665222413705,6.8,86.4021922059879
"0723GOLD_10",2,37.6,10.1823376490863,7.2,91.4846741004578
"0723GOLD_11",2,107.6,11.879393923934,8.4,106.732119783867
"0723GOLD_12",2,124,19.7989898732233,14,177.886866306446
"0723GOLD_13",2,71.6,12.4450793488832,8.8,111.814601678337
"0723GOLD_14",2,84.4,1.69705627484771,1.2,15.2474456834096
"0723GOLD_15",2,41.4,3.67695526217005,2.6,33.0361323140542
"0723GOLD_16",2,32.6,3.39411254969543,2.4,30.4948913668193
"0723GOLD_17",2,139.5,12.0208152801713,8.5,108.002740257485
"0723GOLD_18",2,165.5,9.19238815542512,6.5,82.5903307851355
"0723GOLD_19",2,188,8.48528137423857,6,76.2372284170482
"0723GOLD_20",2,138,16.9705627484771,12,152.474456834096
"0723GOLD_21",2,84.4,9.05096679918781,6.4,81.319710311518
"0723GOLD_22",2,46,1.13137084989847,0.799999999999997,10.1649637889397
"0723GOLD_23",2,86.2,1.4142135623731,1,12.7062047361747
"0723GOLD_24",2,59.4,5.37401153701776,3.8,48.2835779974638
"0723GOLD_25",2,40.15,2.05060966544099,1.45,18.4239968674533
"0723GOLD_26",2,128,5.65685424949238,4,50.8248189446988
"0723GOLD_27",2,77.6,7.35391052434009,5.2,66.0722646281084
"0723GOLD_28",2,48.8,3.95979797464467,2.8,35.5773732612892
"0723GOLD_29",2,80,9.05096679918782,6.40000000000001,81.3197103115181
"0723GOLD_30",2,113,1.4142135623731,1,12.7062047361747
"0723LAUR_01",1,152,NA,NA,NA
"0723LAUR_02",1,59.6,NA,NA,NA
"0723LAUR_03",1,68.4,NA,NA,NA
"0723LAUR_04",1,50,NA,NA,NA
"0723LAUR_05",1,91.6,NA,NA,NA
"0723LAUR_06",1,90,NA,NA,NA
"0723LAUR_07",1,120,NA,NA,NA
"0723LAUR_08",1,112,NA,NA,NA
"0723LAUR_09",1,58.8,NA,NA,NA
"0723LAUR_10",1,129,NA,NA,NA
"0723LAUR_11",1,69.6,NA,NA,NA
"0723LAUR_12",1,101,NA,NA,NA
"0723LAUR_13",1,119,NA,NA,NA
"0723LAUR_14",1,80.4,NA,NA,NA
"0723LAUR_15",1,99.6,NA,NA,NA
"0723LAUR_16",1,166,NA,NA,NA
"0723LAUR_17",1,55.2,NA,NA,NA
"0723LAUR_18",1,176,NA,NA,NA
"0723LAUR_19",1,109,NA,NA,NA
"0723LAUR_21",1,164,NA,NA,NA
"0723LAUR_22",1,160,NA,NA,NA
"0723LAUR_23",1,74,NA,NA,NA
"0723LAUR_24",1,131,NA,NA,NA
"0723LAUR_25",1,134,NA,NA,NA
"0723LAUR_27",1,84,NA,NA,NA
"0723LAUR_28",1,38.7,NA,NA,NA
"0723LAUR_29",1,93.6,NA,NA,NA
"0723LAUR_30",1,95.6,NA,NA,NA
"0823ASHC_01",2,60.2,13.2936074863071,9.4,119.438324520042
"0823ASHC_02",2,69.8,16.1220346110533,11.4,144.850733992392
"0823ASHC_03",2,23.55,3.60624458405139,2.55,32.4008220772455
"0823ASHC_04",2,251,39.5979797464467,28,355.773732612891
"0823ASHC_05",2,234.5,30.4055915910215,21.5,273.183401827756
"0823ASHC_06",2,94.5,17.6776695296637,12.5,158.827559202184
"0823ASHC_07",2,32.75,7.70746391493337,5.45,69.2488158121521
"0823ASHC_08",2,40.95,10.5358910396796,7.45,94.6612252845015
"0823ASHC_09",2,59.4,3.11126983722081,2.2,27.9536504195843
"0823ASHC_10",2,78.6,4.24264068711928,3,38.1186142085241
"0823ASHC_11",2,135.5,4.94974746830583,3.5,44.4717165766114
"0823ASHC_12",2,63.8,0.848528137423859,0.600000000000001,7.62372284170483
"0823ASHC_13",2,267,21.2132034355964,15,190.59307104262
"0823ASHC_14",2,38.15,3.7476659402887,2.65,33.6714425508629
"0823ASHC_15",2,65,3.11126983722081,2.2,27.9536504195844
"0823ASHC_16",2,49.8,5.37401153701776,3.8,48.2835779974638
"0823ASHC_17",2,147.5,13.4350288425444,9.5,120.70894499366
"0823ASHC_18",2,54.2,5.939696961967,4.2,53.3660598919337
"0823ASHC_19",2,83.4,0.282842712474613,0.199999999999996,2.54124094723488
"0823ASHC_20",2,37.25,0.636396103067897,0.450000000000003,5.71779213127865
"0823ASHC_21",2,70.4,4.5254833995939,3.2,40.659855155759
"0823ASHC_22",2,262.5,36.0624458405139,25.5,324.008220772455
"0823ASHC_23",2,21.95,1.06066017177982,0.75,9.52965355213102
"0823ASHC_24",2,129,12.7279220613579,9,114.355842625572
"0823ASHC_25",2,31.65,4.45477272147525,3.15,40.0245449189503
"0823ASHC_26",2,72,7.91959594928932,5.59999999999999,71.1547465225782
"0823ASHC_27",2,129,4.24264068711928,3,38.1186142085241
"0823ASHC_28",2,119,1.4142135623731,1,12.7062047361747
"0823ASHC_29",2,133,9.89949493661167,7,88.9434331532228
"0823ASHC_30",2,47.6,3.39411254969543,2.4,30.4948913668192
"0823FENC_01",2,61.4,4.24264068711929,3,38.1186142085241
"0823FENC_02",2,69.2,0,0,0
"0823FENC_03",2,63.8,2.54558441227157,1.8,22.8711685251144
"0823FENC_04",2,118,0,0,0
"0823FENC_05",2,79.9,62.3668181006535,44.1,560.343628865304
"0823FENC_06",2,80,9.05096679918782,6.40000000000001,81.3197103115181
"0823FENC_07",2,48.2,0.848528137423854,0.599999999999998,7.62372284170479
"0823FENC_08",2,108.5,4.94974746830583,3.5,44.4717165766114
"0823FENC_09",2,47.8,0.282842712474618,0.199999999999999,2.54124094723493
"0823FENC_10",2,86.2,7.07106781186548,5,63.5310236808735
"0823FENC_11",2,61,5.37401153701776,3.8,48.2835779974638
"0823FENC_12",2,66.8,1.13137084989847,0.799999999999997,10.1649637889397
"0823FENC_13",2,55.2,0,0,0
"0823FENC_14",2,92,4.52548339959391,3.2,40.6598551557591
"0823FENC_15",2,81,0.282842712474623,0.200000000000003,2.54124094723498
"0823FENC_16",2,49,1.97989898732233,1.4,17.7886866306446
"0823FENC_17",2,82.2,1.97989898732233,1.4,17.7886866306446
"0823FENC_18",2,75.2,5.09116882454314,3.6,45.7423370502289
"0823FENC_19",2,80,1.69705627484772,1.2,15.2474456834097
"0823FENC_20",2,69.6,1.69705627484771,1.2,15.2474456834096
"0823FENC_21",2,86.2,1.97989898732233,1.4,17.7886866306446
"0823FENC_22",2,173.5,30.4055915910215,21.5,273.183401827756
"0823FENC_23",2,71.8,1.4142135623731,1,12.7062047361747
"0823FENC_24",2,42.6,0.848528137423859,0.600000000000001,7.62372284170483
"0823FENC_25",2,110,0,0,0
"0823FENC_26",2,50.4,3.39411254969543,2.4,30.4948913668192
"0823FENC_27",2,70.4,3.39411254969543,2.4,30.4948913668192
"0823FENC_28",2,85.8,5.37401153701776,3.8,48.2835779974638
"0823FENC_29",2,99.3,10.8894444302728,7.7,97.8377764685452
"0823FENC_30",2,36.7,6.36396103067893,4.5,57.1779213127861
"0823GOLD_01",1,106,NA,NA,NA
"0823GOLD_02",1,56.8,NA,NA,NA
"0823GOLD_03",1,50.8,NA,NA,NA
"0823GOLD_04",1,44,NA,NA,NA
"0823GOLD_05",1,150,NA,NA,NA
"0823GOLD_06",1,73.6,NA,NA,NA
"0823GOLD_07",1,62,NA,NA,NA
"0823GOLD_08",1,71.6,NA,NA,NA
"0823GOLD_09",1,65.2,NA,NA,NA
"0823GOLD_1",1,94.4,NA,NA,NA
"0823GOLD_10",2,183.5,33.2340187157677,23.5,298.595811300105
"0823GOLD_11",2,98.2,13.8592929112563,9.8,124.520806414512
"0823GOLD_12",2,217,26.8700576850888,19,241.417889987319
"0823GOLD_13",2,54.4,12.4450793488832,8.8,111.814601678337
"0823GOLD_14",2,96.3,15.1320851173921,10.7,135.956390677069
"0823GOLD_15",2,55.4,7.63675323681471,5.4,68.6135055753433
"0823GOLD_16",2,36.6,7.07106781186548,5,63.5310236808735
"0823GOLD_17",2,50.2,3.11126983722081,2.2,27.9536504195843
"0823GOLD_18",2,126.5,12.0208152801713,8.5,108.002740257485
"0823GOLD_19",2,72,2.82842712474619,2,25.4124094723494
"0823GOLD_2",1,48.8,NA,NA,NA
"0823GOLD_20",2,42,3.39411254969543,2.4,30.4948913668192
"0823GOLD_21",2,83.4,12.7279220613579,9,114.355842625572
"0823GOLD_22",2,76.2,5.939696961967,4.2,53.3660598919338
"0823GOLD_23",2,40.55,4.87903679018718,3.45,43.8364063398027
"0823GOLD_24",2,46.6,4.24264068711928,3,38.1186142085241
"0823GOLD_25",2,100.6,1.97989898732233,1.4,17.7886866306446
"0823GOLD_26",2,41.4,2.54558441227157,1.8,22.8711685251145
"0823GOLD_27",2,72.8,5.65685424949238,4,50.8248189446988
"0823GOLD_28",2,81,3.67695526217004,2.59999999999999,33.0361323140541
"0823GOLD_29",2,86.8,8.48528137423857,6,76.2372284170482
"0823GOLD_3",1,41.6,NA,NA,NA
"0823GOLD_30",2,29.7,6.64680374315355,4.7,59.7191622600211
"0823GOLD_4",1,38.1,NA,NA,NA
"0823GOLD_5",1,31,NA,NA,NA
"0823GOLD_6",1,69.6,NA,NA,NA
"0823GOLD_7",1,60,NA,NA,NA
"0823GOLD_8",1,60.4,NA,NA,NA
"0823GOLD_9",1,84.4,NA,NA,NA
"0823LAUR_01",2,72.7,17.6776695296637,12.5,158.827559202184
"0823LAUR_02",2,57.3,17.3948268171891,12.3,156.286318254949
"0823LAUR_03",2,98.3,10.8894444302728,7.7,97.8377764685452
"0823LAUR_04",2,73,13.8592929112563,9.8,124.520806414512
"0823LAUR_05",2,92.1,9.47523086789973,6.69999999999999,85.1315717323704
"0823LAUR_06",2,44.5,2.12132034355964,1.5,19.059307104262
"0823LAUR_07",2,65.8,8.76812408671319,6.2,78.7784693642831
"0823LAUR_08",2,39.1,14.8492424049175,10.5,133.415149729834
"0823LAUR_09",2,94.3,8.06101730552665,5.7,72.4253669961958
"0823LAUR_10",2,93.8,15.8391918985787,11.2,142.309493045157
"0823LAUR_11",2,63.2,16.4048773235279,11.6,147.391974939626
"0823LAUR_12",2,53.3,13.4350288425444,9.5,120.70894499366
"0823LAUR_13",2,78.2,27.435743110038,19.4,246.500371881789
"0823LAUR_14",2,118.1,36.6281312654632,25.9,329.090702666925
"0823LAUR_15",2,79.1,23.9002092041053,16.9,214.734860041352
"0823LAUR_16",2,35.4,9.89949493661167,7,88.9434331532228
"0823LAUR_17",2,43.1,18.8090403795622,13.3,168.992522991123
"0823LAUR_18",2,92.4,36.2038671967512,25.6,325.278841246072
"0823LAUR_19",2,84,14.142135623731,10,127.062047361747
"0823LAUR_20",2,88.4,26.3043722601396,18.6,236.335408092849
"0823LAUR_21",2,46.9,27.5771644662754,19.5,247.770992355407
"0823LAUR_22",2,48.3,17.6776695296637,12.5,158.827559202184
"0823LAUR_23",2,46.4,18.1019335983756,12.8,162.639420623036
"0823LAUR_24",2,61.1,34.6482322781408,24.5,311.30201603628
"0823LAUR_25",2,60,18.6676190233249,13.2,167.721902517506
"0823LAUR_26",2,100.4,22.0617315730203,15.6,198.216793884325
"0823LAUR_27",2,86.3,22.2031529292576,15.7,199.487414357943
"0823LAUR_28",2,42.8,9.05096679918781,6.4,81.3197103115181
"0823LAUR_29",2,128,18.3847763108502,13,165.180661570271
"0823LAUR_30",2,82.4,36.2038671967512,25.6,325.278841246072
"0923ASHC_01",2,96.1,9.75807358037435,6.9,87.6728126796054
"0923ASHC_02",2,141.5,13.4350288425444,9.5,120.70894499366
"0923ASHC_03",2,172,21.2132034355964,15,190.59307104262
"0923ASHC_04",2,121,15.556349186104,11,139.768252097922
"0923ASHC_05",2,110,19.7989898732233,14,177.886866306446
"0923ASHC_06",2,83,11.5965512114594,8.2,104.190878836633
"0923ASHC_07",2,28.45,3.88908729652601,2.75,34.9420630244804
"0923ASHC_08",2,25.6,5.09116882454314,3.6,45.7423370502289
"0923ASHC_09",2,43,7.63675323681471,5.4,68.6135055753433
"0923ASHC_10",2,51.8,10.4651803615609,7.4,94.0259150476927
"0923ASHC_11",2,96.1,18.2433549546129,12.9,163.910041096654
"0923ASHC_12",2,81,14.4249783362056,10.2,129.603288308982
"0923ASHC_13",2,51.6,14.7078210486802,10.4,132.144529256217
"0923ASHC_14",2,55.2,11.879393923934,8.4,106.732119783867
"0923ASHC_15",2,59,12.7279220613579,9,114.355842625572
"0923ASHC_16",2,31.3,5.23259018078045,3.7,47.0129575238464
"0923ASHC_17",2,39.9,6.36396103067893,4.5,57.1779213127861
"0923ASHC_18",2,142,28.2842712474619,20,254.124094723494
"0923ASHC_19",2,85,14.4249783362056,10.2,129.603288308982
"0923ASHC_20",2,197.5,38.8908729652601,27.5,349.420630244804
"0923ASHC_21",2,50.8,13.0107647738325,9.2,116.897083572807
"0923ASHC_22",2,32.6,7.07106781186548,5,63.5310236808735
"0923ASHC_23",2,28,6.50538238691624,4.6,58.4485417864036
"0923ASHC_24",2,46.7,11.4551298552221,8.1,102.920258363015
"0923ASHC_25",2,20.085,25.4770573261513,18.015,228.902278322187
"0923ASHC_26",2,25.765,33.7077802591627,23.835,302.852389886724
"0923ASHC_27",2,61.8,12.7279220613579,9,114.355842625572
"0923ASHC_28",2,64.8,8.48528137423857,6,76.2372284170482
"0923ASHC_29",2,71,28.0014285349873,19.8,251.582853776259
"0923ASHC_30",2,62.8,27.1529003975634,19.2,243.959130934554
"0923FENC_01",2,71.4,37.0523953341751,26.2,332.902564087777
"0923FENC_02",2,30.5,17.9605122421383,12.7,161.368800149419
"0923FENC_03",2,19.66,14.0572828099886,9.94,126.299675077576
"0923FENC_04",2,48.15,38.8201622871415,27.45,348.785320007995
"0923FENC_05",2,43.7,22.4859956417322,15.9,202.028655305178
"0923FENC_06",2,17.1,9.19238815542512,6.5,82.5903307851355
"0923FENC_07",2,25.12,21.6091832330609,15.28,194.150808368749
"0923FENC_08",2,83.4,65.9023520065862,46.6,592.109140705741
"0923FENC_09",2,36.98,42.1718484299657,29.82,378.899025232729
"0923FENC_10",2,18.2,9.89949493661167,7,88.9434331532228
"0923FENC_11",2,56.15,61.447579285111,43.45,552.08459578679
"0923FENC_12",2,17.5,13.717871555019,9.7,123.250185940895
"0923FENC_13",2,63.8,21.2132034355964,15,190.59307104262
"0923FENC_14",2,27.5,1.83847763108502,1.3,16.5180661570271
"0923FENC_15",2,50.75,47.0226009489054,33.25,422.481307477809
"0923FENC_16",2,61.6,1.69705627484771,1.2,15.2474456834096
"0923FENC_17",2,39.8,27.435743110038,19.4,246.500371881789
"0923FENC_18",2,18.2,7.63675323681471,5.4,68.6135055753434
"0923FENC_19",2,35.35,12.7986327394765,9.05,114.991152862381
"0923FENC_20",2,73.4,7.63675323681471,5.4,68.6135055753433
"0923FENC_21",2,118,36.7695526217005,26,330.361323140542
"0923FENC_22",2,26.3,22.7688383542068,16.1,204.569896252413
"0923FENC_23",2,42.75,16.4755880016466,11.65,148.027285176435
"0923FENC_24",2,36.05,19.1625937701554,13.55,172.169074175167
"0923FENC_25",2,30.35,17.606958851545,12.45,158.192248965375
"0923FENC_26",2,24.35,7.56604255869606,5.35,67.9781953385346
"0923FENC_27",2,44.9,17.3948268171891,12.3,156.286318254949
"0923FENC_28",2,55.7,59.2555482634327,41.9,532.38997844572
"0923FENC_29",2,73.4,13.8592929112563,9.8,124.520806414512
"0923FENC_30",2,55.6,6.22253967444162,4.4,55.9073008391686
"0923GOLD_01",2,64.4,5.65685424949239,4,50.8248189446988
"0923GOLD_02",2,32.55,0.919238815542515,0.650000000000002,8.25903307851358
"0923GOLD_03",2,42.6,1.97989898732233,1.4,17.7886866306446
"0923GOLD_04",2,37,0.707106781186548,0.5,6.35310236808735
"0923GOLD_05",2,86.6,8.76812408671318,6.19999999999999,78.778469364283
"0923GOLD_06",2,122.5,2.12132034355964,1.5,19.059307104262
"0923GOLD_07",2,53.8,1.97989898732234,1.4,17.7886866306446
"0923GOLD_08",2,53.4,7.63675323681471,5.4,68.6135055753433
"0923GOLD_09",2,67,9.89949493661167,7,88.9434331532228
"0923GOLD_10",2,38.85,1.34350288425444,0.949999999999999,12.0708944993659
"0923GOLD_11",2,43.2,0.565685424949241,0.400000000000002,5.0824818944699
"0923GOLD_12",2,41.1,3.53553390593274,2.5,31.7655118404367
"0923GOLD_13",2,60,11.879393923934,8.4,106.732119783867
"0923GOLD_14",2,74.4,1.69705627484771,1.2,15.2474456834096
"0923GOLD_15",2,94.4,1.69705627484771,1.2,15.2474456834096
"0923GOLD_16",2,74,6.78822509939085,4.8,60.9897827336385
"0923GOLD_17",2,77.6,9.05096679918781,6.4,81.319710311518
"0923GOLD_18",2,51,0.848528137423859,0.600000000000001,7.62372284170483
"0923GOLD_19",2,60.4,3.95979797464467,2.8,35.5773732612892
"0923GOLD_20",2,101.6,9.05096679918781,6.4,81.319710311518
"0923GOLD_21",2,66.8,14.142135623731,10,127.062047361747
"0923GOLD_22",2,57.6,5.09116882454314,3.6,45.7423370502289
"0923GOLD_23",2,63.2,6.78822509939086,4.8,60.9897827336385
"0923GOLD_24",2,53.4,10.4651803615609,7.4,94.0259150476927
"0923GOLD_25",2,60.4,6.22253967444162,4.4,55.9073008391686
"0923GOLD_26",2,37.5,2.40416305603427,1.7,21.600548051497
"0923GOLD_27",2,67.4,5.37401153701776,3.8,48.2835779974638
"0923GOLD_28",2,44.8,4.5254833995939,3.2,40.659855155759
"0923GOLD_29",2,83.8,12.1622366364086,8.6,109.273360731102
"0923GOLD_30",2,73.4,4.24264068711928,3,38.1186142085241
"0923LAUR_01",2,48,8.48528137423857,6,76.2372284170482
"0923LAUR_02",2,79.8,7.07106781186548,5,63.5310236808735
"0923LAUR_03",2,35.85,3.60624458405139,2.55,32.4008220772455
"0923LAUR_04",2,94.4,6.22253967444162,4.4,55.9073008391686
"0923LAUR_05",2,76,13.0107647738325,9.2,116.897083572807
"0923LAUR_06",2,59.4,7.07106781186548,5,63.5310236808735
"0923LAUR_07",2,101.8,3.11126983722081,2.2,27.9536504195844
"0923LAUR_08",2,33.5,2.12132034355964,1.5,19.059307104262
"0923LAUR_09",2,52.6,5.37401153701776,3.8,48.2835779974638
"0923LAUR_10",2,52.4,3.39411254969543,2.4,30.4948913668192
"0923LAUR_11",2,119.5,3.53553390593274,2.5,31.7655118404367
"0923LAUR_12",2,125.5,9.19238815542512,6.5,82.5903307851355
"0923LAUR_13",2,76.4,3.39411254969543,2.4,30.4948913668192
"0923LAUR_14",2,183.5,12.0208152801713,8.5,108.002740257485
"0923LAUR_15",2,51,4.24264068711928,3,38.1186142085241
"0923LAUR_16",2,98.8,0.565685424949236,0.399999999999999,5.08248189446986
"0923LAUR_17",2,87.8,1.97989898732233,1.4,17.7886866306446
"0923LAUR_18",2,57.8,1.97989898732234,1.4,17.7886866306446
"0923LAUR_19",2,48,0.565685424949236,0.399999999999999,5.08248189446986
"0923LAUR_20",2,68.2,0.282842712474623,0.200000000000003,2.54124094723498
"0923LAUR_21",2,167,18.3847763108502,13,165.180661570271
"0923LAUR_22",2,57.6,1.13137084989848,0.800000000000001,10.1649637889398
"0923LAUR_23",2,70.8,4.52548339959391,3.2,40.6598551557591
"0923LAUR_24",2,43.4,0.282842712474618,0.199999999999999,2.54124094723493
"0923LAUR_25",2,50.4,2.82842712474619,2,25.4124094723494
"0923LAUR_26",2,155,4.24264068711928,3,38.1186142085241
"0923LAUR_27",2,27.7,5.79827560572969,4.1,52.0954394183162
"0923LAUR_28",2,128.5,9.19238815542512,6.5,82.5903307851355
"0923LAUR_29",2,52.2,5.37401153701776,3.8,48.2835779974638
"0923LAUR_30",2,67,1.97989898732234,1.40000000000001,17.7886866306446
"1123ASHC_01",2,14.4,2.54558441227157,1.8,22.8711685251144
"1123ASHC_02",2,30.7,7.4953318805774,5.3,67.3428851017259
"1123ASHC_03",2,65.2,14.7078210486802,10.4,132.144529256217
"1123ASHC_04",2,30.1,5.79827560572969,4.1,52.0954394183163
"1123ASHC_05",2,31.35,5.58614357137372,3.95,50.18950870789
"1123ASHC_06",2,26.5,3.95979797464467,2.8,35.5773732612892
"1123ASHC_07",2,24.8,4.10121933088198,2.9,36.8479937349066
"1123ASHC_08",2,43.85,7.00035713374682,4.95,62.8957134440647
"1123ASHC_09",2,37.1,0.989949493661165,0.699999999999999,8.89434331532228
"1123ASHC_10",2,39.45,0.49497474683058,0.349999999999998,4.44717165766111
"1123ASHC_11",2,100.6,1.97989898732233,1.4,17.7886866306446
"1123ASHC_12",2,62,0.565685424949236,0.399999999999999,5.08248189446986
"1123ASHC_13",2,60.8,1.13137084989848,0.800000000000001,10.1649637889398
"1123ASHC_14",2,31.45,0.0707106781186558,0.0500000000000007,0.635310236808744
"1123ASHC_15",2,58,0,0,0
"1123ASHC_16",2,25.65,0.0707106781186532,0.0499999999999989,0.635310236808721
"1123ASHC_17",2,54.2,0.282842712474618,0.199999999999999,2.54124094723493
"1123ASHC_18",2,45,0.282842712474623,0.200000000000003,2.54124094723498
"1123ASHC_19",2,48,6.22253967444162,4.4,55.9073008391686
"1123ASHC_20",2,25.6,0.282842712474621,0.200000000000001,2.54124094723495
"1123ASHC_21",2,43.4,0.848528137423859,0.600000000000001,7.62372284170483
"1123ASHC_22",2,28.7,0.42426406871193,0.300000000000001,3.81186142085242
"1123ASHC_23",2,52,1.69705627484772,1.2,15.2474456834097
"1123ASHC_24",2,30.8,1.13137084989848,0.800000000000001,10.1649637889398
"1123ASHC_25",2,47.2,11.879393923934,8.4,106.732119783867
"1123ASHC_26",2,41,9.89949493661167,7,88.9434331532228
"1123ASHC_27",2,23.05,6.01040764008565,4.25,54.0013701287424
"1123ASHC_28",2,33.4,7.3539105243401,5.2,66.0722646281084
"1123ASHC_29",2,32.65,2.89913780286485,2.05,26.0477197091581
"1123ASHC_30",2,57,3.11126983722081,2.2,27.9536504195844
"1123FENC_01",2,30.1,0.707106781186548,0.5,6.35310236808735
"1123FENC_02",2,28.35,0.212132034355965,0.15,1.90593071042621
"1123FENC_03",2,77,3.11126983722081,2.2,27.9536504195844
"1123FENC_04",2,10.8,0.282842712474619,0.2,2.54124094723494
"1123FENC_05",2,57,0.848528137423859,0.600000000000001,7.62372284170483
"1123FENC_06",2,28.35,0.212132034355965,0.15,1.90593071042621
"1123FENC_07",2,51.2,5.65685424949238,4,50.8248189446988
"1123FENC_08",2,45.6,0.565685424949236,0.399999999999999,5.08248189446986
"1123FENC_09",2,12.13,3.35168614282424,2.37,30.113705224734
"1123FENC_10",2,27.15,5.1618795026618,3.65,46.3776472870376
"1123FENC_11",2,41.1,5.23259018078045,3.7,47.0129575238464
"1123FENC_12",2,33.4,2.68700576850888,1.9,24.1417889987319
"1123FENC_13",2,42.2,5.37401153701776,3.8,48.2835779974638
"1123FENC_14",2,33.1,4.5254833995939,3.2,40.659855155759
"1123FENC_15",2,30.4,1.4142135623731,1,12.7062047361747
"1123FENC_16",2,34.8,2.9698484809835,2.1,26.6830299459668
"1123FENC_17",2,63,3.67695526217004,2.6,33.0361323140542
"1123FENC_18",2,33.5,0.141421356237312,0.100000000000001,1.27062047361749
"1123FENC_19",2,51,0.848528137423859,0.600000000000001,7.62372284170483
"1123FENC_20",2,73.2,3.39411254969543,2.4,30.4948913668192
"1123FENC_21",2,76.8,10.7480230740355,7.6,96.5671559949277
"1123FENC_22",2,25,5.09116882454314,3.6,45.7423370502289
"1123FENC_23",2,11.65,1.34350288425444,0.95,12.070894499366
"1123FENC_24",2,19.35,3.7476659402887,2.65,33.6714425508629
"1123FENC_25",2,47.6,5.09116882454314,3.6,45.7423370502289
"1123FENC_26",2,21.55,1.76776695296637,1.25,15.8827559202184
"1123FENC_27",2,28.5,0.141421356237312,0.100000000000001,1.27062047361749
"1123FENC_28",2,16.45,0.353553390593274,0.25,3.17655118404367
"1123FENC_29",2,22.7,1.5556349186104,1.1,13.9768252097922
"1123FENC_30",2,26.2,0.565685424949239,0.4,5.08248189446988
