"data_all.lab_id","data_all.date_collected","data_all.site","data_all.rftm_intensity_read1","data_all.rftm_intensity_read2","data_all.results"
"0125ASHC_07",2025-01-06,"ASHC",0,0,"TRUE"
"0125ASHC_08",2025-01-06,"ASHC",1,1,"TRUE"
"0125ASHC_14",2025-01-06,"ASHC",1,1,"TRUE"
"0125FENC_01",2025-01-08,"FENC",2,2,"TRUE"
"0125FENC_02",2025-01-08,"FENC",2,2,"TRUE"
"0125FENC_06",2025-01-08,"FENC",0,0,"TRUE"
"0126ASHC_09",2026-01-14,"ASHC",0.5,0.5,"TRUE"
"0126ASHC_10",2026-01-14,"ASHC",0.5,0.5,"TRUE"
"0126ASHC_18",2026-01-14,"ASHC",0.5,0.5,"TRUE"
"0126FENC_13",2026-01-13,"FENC",1,1,"TRUE"
"0126FENC_19",2026-01-13,"FENC",1,1,"TRUE"
"0126FENC_20",2026-01-13,"FENC",1,1,"TRUE"
"0225ASHC_03",2025-02-05,"ASHC",0,0,"TRUE"
"0225ASHC_07",2025-02-05,"ASHC",0.5,0.5,"TRUE"
"0225ASHC_08",2025-02-05,"ASHC",1,0.5,"FALSE"
"0225FENC_13",2025-02-04,"FENC",0.5,0.5,"TRUE"
"0225FENC_14",2025-02-04,"FENC",0,0,"TRUE"
"0225FENC_24",2025-02-04,"FENC",2,2,"TRUE"
"0324ASHC_01",2024-03-14,"ASHC",0,0,"TRUE"
"0324ASHC_02",2024-03-14,"ASHC",0,0,"TRUE"
"0324ASHC_03",2024-03-14,"ASHC",1,1,"TRUE"
"0324ASHC_04",2024-03-14,"ASHC",0,0,"TRUE"
"0324ASHC_07",2024-03-14,"ASHC",0.5,0.5,"TRUE"
"0324ASHC_08",2024-03-14,"ASHC",0,0,"TRUE"
"0324ASHC_17",2024-03-14,"ASHC",1,1,"TRUE"
"0324FENC_01",2024-03-06,"FENC",0.5,0.5,"TRUE"
"0324FENC_02",2024-03-06,"FENC",0.5,0.5,"TRUE"
"0324FENC_09",2024-03-06,"FENC",2,2,"TRUE"
"0324FENC_10",2024-03-06,"FENC",3,3,"TRUE"
"0324FENC_11",2024-03-06,"FENC",1,1,"TRUE"
"0324FENC_12",2024-03-06,"FENC",0,0,"TRUE"
"0324FENC_13",2024-03-06,"FENC",0.5,1,"FALSE"
"0324FENC_14",2024-03-06,"FENC",1,1,"TRUE"
"0324FENC_21",2024-03-06,"FENC",3,3,"TRUE"
"0324FENC_23",2024-03-06,"FENC",0,0,"TRUE"
"0325ASHC_07",2025-03-04,"ASHC",0.5,0.5,"TRUE"
"0325ASHC_08",2025-03-04,"ASHC",0.5,0.5,"TRUE"
"0325ASHC_11",2025-03-04,"ASHC",0.5,0.5,"TRUE"
"0325ASHC_12",2025-03-04,"ASHC",0.5,0.5,"TRUE"
"0325ASHC_17",2025-03-04,"ASHC",0.5,0.5,"TRUE"
"0325ASHC_18",2025-03-04,"ASHC",1,1,"TRUE"
"0325ASHC_21",2025-03-04,"ASHC",0.5,0.5,"TRUE"
"0325ASHC_22",2025-03-04,"ASHC",1,0.5,"FALSE"
"0325ASHC_29",2025-03-04,"ASHC",1,1,"TRUE"
"0325ASHC_30",2025-03-04,"ASHC",1,1,"TRUE"
"0325FENC_01",2025-03-06,"FENC",0,0,"TRUE"
"0325FENC_02",2025-03-06,"FENC",0.5,0.5,"TRUE"
"0325FENC_09",2025-03-06,"FENC",0.5,0.5,"TRUE"
"0325FENC_10",2025-03-06,"FENC",0.5,0,"FALSE"
"0325FENC_15",2025-03-06,"FENC",0.5,0.5,"TRUE"
"0325FENC_16",2025-03-06,"FENC",0,0,"TRUE"
"0325FENC_23",2025-03-06,"FENC",0.5,0.5,"TRUE"
"0325FENC_24",2025-03-06,"FENC",0.5,0.5,"TRUE"
"0423ASHC_01",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_02",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_03",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_04",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_05",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_06",2023-04-23,"ASHC",0.5,0,"FALSE"
"0423ASHC_07",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_08",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_09",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_10",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_11",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_12",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_13",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_14",2023-04-23,"ASHC",0.5,1,"FALSE"
"0423ASHC_15",2023-04-23,"ASHC",0,0,"TRUE"
"0423ASHC_16",2023-04-23,"ASHC",1,1,"TRUE"
"0423ASHC_17",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_18",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_19",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_20",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_21",2023-04-23,"ASHC",1,1,"TRUE"
"0423ASHC_22",2023-04-23,"ASHC",0.5,0,"FALSE"
"0423ASHC_23",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_24",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_25",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_26",2023-04-23,"ASHC",0.5,0,"FALSE"
"0423ASHC_27",2023-04-23,"ASHC",0,0,"TRUE"
"0423ASHC_28",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423ASHC_29",2023-04-23,"ASHC",2,2,"TRUE"
"0423ASHC_30",2023-04-23,"ASHC",0.5,0.5,"TRUE"
"0423FENC_01",2023-04-27,"FENC",0.5,1,"FALSE"
"0423FENC_02",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_03",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_04",2023-04-27,"FENC",2,2,"TRUE"
"0423FENC_05",2023-04-27,"FENC",0,0,"TRUE"
"0423FENC_06",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_07",2023-04-27,"FENC",0,0,"TRUE"
"0423FENC_08",2023-04-27,"FENC",0,0,"TRUE"
"0423FENC_09",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0423FENC_10",2023-04-27,"FENC",0.5,0.5,"TRUE"
"0424ASHC_03",2024-04-03,"ASHC",0,0,"TRUE"
"0424ASHC_04",2024-04-03,"ASHC",0,0,"TRUE"
"0424ASHC_05",2024-04-03,"ASHC",0.5,0.5,"TRUE"
"0424ASHC_06",2024-04-03,"ASHC",0,0,"TRUE"
"0424ASHC_13",2024-04-03,"ASHC",0,0,"TRUE"
"0424ASHC_23",2024-04-03,"ASHC",0.5,0,"FALSE"
"0424FENC_01",2024-04-02,"FENC",0.5,0.5,"TRUE"
"0424FENC_02",2024-04-02,"FENC",0,0,"TRUE"
"0424FENC_03",2024-04-02,"FENC",0,0,"TRUE"
"0424FENC_04",2024-04-02,"FENC",0.5,0.5,"TRUE"
"0424FENC_05",2024-04-02,"FENC",0,0.5,"FALSE"
"0424FENC_06",2024-04-02,"FENC",0,0,"TRUE"
"0424FENC_29",2024-04-02,"FENC",0,0,"TRUE"
"0424FENC_30",2024-04-02,"FENC",0,0,"TRUE"
"0424GOLD_03",2024-04-22,"GOLD",0,0,"TRUE"
"0424GOLD_04",2024-04-22,"GOLD",0,0,"TRUE"
"0424GOLD_05",2024-04-22,"GOLD",0,0,"TRUE"
"0424GOLD_06",2024-04-22,"GOLD",0.5,0,"FALSE"
"0424GOLD_10",2024-04-22,"GOLD",0.5,0,"FALSE"
"0425ASHC_24",2025-04-01,"ASHC",1,1,"TRUE"
"0425ASHC_25",2025-04-01,"ASHC",0.5,0.5,"TRUE"
"0425ASHC_30",2025-04-01,"ASHC",1,1,"TRUE"
"0425FENC_07",2025-04-03,"FENC",0.5,0.5,"TRUE"
"0425FENC_08",2025-04-03,"FENC",0.5,0.5,"TRUE"
"0425FENC_21",2025-04-03,"FENC",0.5,0.5,"TRUE"
"0425FENC_22",2025-04-03,"FENC",0.5,0.5,"TRUE"
"0425GOLD_05",2025-04-28,"GOLD",0.5,0.5,"TRUE"
"0425GOLD_06",2025-04-28,"GOLD",0.5,0.5,"TRUE"
"0425GOLD_12",2025-04-28,"GOLD",0.5,0.5,"TRUE"
"0523ASHC_01",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_02",2023-05-10,"ASHC",0.5,0.5,"TRUE"
"0523ASHC_03",2023-05-10,"ASHC",0.5,0.5,"TRUE"
"0523ASHC_04",2023-05-10,"ASHC",1,1,"TRUE"
"0523ASHC_05",2023-05-10,"ASHC",0.5,0,"FALSE"
"0523ASHC_06",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_07",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_08",2023-05-10,"ASHC",2,2,"TRUE"
"0523ASHC_09",2023-05-10,"ASHC",0,0,"TRUE"
"0523ASHC_10",2023-05-10,"ASHC",0,0,"TRUE"
"0523FENC_01",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_02",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_03",2023-05-15,"FENC",0,0.5,"FALSE"
"0523FENC_04",2023-05-15,"FENC",0,0.5,"FALSE"
"0523FENC_05",2023-05-15,"FENC",0,0.5,"FALSE"
"0523FENC_06",2023-05-15,"FENC",0,0.5,"FALSE"
"0523FENC_07",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_08",2023-05-15,"FENC",0,0.5,"FALSE"
"0523FENC_09",2023-05-15,"FENC",0.5,0.5,"TRUE"
"0523FENC_10",2023-05-15,"FENC",0,0,"TRUE"
"0523GOLD_01",2023-05-25,"GOLD",0.5,0.5,"TRUE"
"0523GOLD_02",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_03",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_04",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_05",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_06",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_07",2023-05-25,"GOLD",0,0,"TRUE"
"0523GOLD_08",2023-05-25,"GOLD",0.5,0,"FALSE"
"0523GOLD_09",2023-05-25,"GOLD",0.5,0,"FALSE"
"0523GOLD_10",2023-05-25,"GOLD",0,0,"TRUE"
"0523LAUR_01",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_02",2023-05-25,"LAUR",0,0.5,"FALSE"
"0523LAUR_03",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_04",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_05",2023-05-25,"LAUR",0,0.5,"FALSE"
"0523LAUR_06",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_07",2023-05-25,"LAUR",0.5,0.5,"TRUE"
"0523LAUR_08",2023-05-25,"LAUR",0,0,"TRUE"
"0523LAUR_09",2023-05-25,"LAUR",2,2,"TRUE"
"0523LAUR_10",2023-05-25,"LAUR",0,0.5,"FALSE"
"0524ASHC_01",2024-05-01,"ASHC",0,0.5,"FALSE"
"0524ASHC_02",2024-05-01,"ASHC",0,0,"TRUE"
"0524ASHC_05",2024-05-01,"ASHC",0,0,"TRUE"
"0524ASHC_06",2024-05-01,"ASHC",0,0,"TRUE"
"0524ASHC_08",2024-05-01,"ASHC",0,0,"TRUE"
"0524FENC_05",2024-05-13,"FENC",0,0,"TRUE"
"0524FENC_06",2024-05-13,"FENC",0,0,"TRUE"
"0524FENC_09",2024-05-13,"FENC",0.5,0.5,"TRUE"
"0524FENC_10",2024-05-13,"FENC",1,1,"TRUE"
"0524FENC_13",2024-05-13,"FENC",0.5,0.5,"TRUE"
"0524FENC_18",2024-05-13,"FENC",0.5,0.5,"TRUE"
"0524GOLD_05",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_06",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_07",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_08",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_13",2024-05-23,"GOLD",0.5,0.5,"TRUE"
"0524GOLD_14",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_17",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_18",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_19",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_43",2024-05-23,"GOLD",0,0,"TRUE"
"0524GOLD_44",2024-05-23,"GOLD",0,0,"TRUE"
"0525ASHC_03",2025-05-01,"ASHC",0.5,0.5,"TRUE"
"0525ASHC_04",2025-05-01,"ASHC",0,0,"TRUE"
"0525ASHC_17",2025-05-01,"ASHC",0.5,0.5,"TRUE"
"0525ASHC_18",2025-05-01,"ASHC",0.5,0.5,"TRUE"
"0525FENC_05",2025-05-05,"FENC",0.5,0.5,"TRUE"
"0525FENC_11",2025-05-05,"FENC",0,0,"TRUE"
"0525FENC_12",2025-05-05,"FENC",0.5,0.5,"TRUE"
"0525GOLD_13",2025-05-27,"GOLD",0.5,0.5,"TRUE"
"0525GOLD_14",2025-05-27,"GOLD",0.5,0.5,"TRUE"
"0525GOLD_21",2025-05-27,"GOLD",0,0,"TRUE"
"0623ASHC_01",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_02",2023-06-12,"ASHC",0,0,"TRUE"
"0623ASHC_03",2023-06-12,"ASHC",1,1,"TRUE"
"0623ASHC_04",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_05",2023-06-12,"ASHC",1,0.5,"FALSE"
"0623ASHC_06",2023-06-12,"ASHC",1,1,"TRUE"
"0623ASHC_07",2023-06-12,"ASHC",2,2,"TRUE"
"0623ASHC_08",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_09",2023-06-12,"ASHC",0.5,0.5,"TRUE"
