"data_all.lab_id","data_all.date_collected","data_all.site","data_all.rftm_intensity_read1","data_all.rftm_intensity_read2","data_all.results"
"0623ASHC_10",2023-06-12,"ASHC",0,0,"TRUE"
"0623ASHC_11",2023-06-12,"ASHC",0.5,0.5,"TRUE"
"0623ASHC_12",2023-06-12,"ASHC",0,0,"TRUE"
"0623GOLD_01",2023-06-20,"GOLD",0,0,"TRUE"
"0623GOLD_02",2023-06-20,"GOLD",0.5,0,"FALSE"
"0623GOLD_03",2023-06-20,"GOLD",0,0,"TRUE"
"0623GOLD_04",2023-06-20,"GOLD",0.5,0,"FALSE"
"0623GOLD_05",2023-06-20,"GOLD",0,0,"TRUE"
"0623GOLD_06",2023-06-20,"GOLD",0,0.5,"FALSE"
"0623GOLD_07",2023-06-20,"GOLD",0.5,0.5,"TRUE"
"0623GOLD_08",2023-06-20,"GOLD",0.5,0.5,"TRUE"
"0623GOLD_09",2023-06-20,"GOLD",0,0.5,"FALSE"
"0623GOLD_10",2023-06-20,"GOLD",0.5,0.5,"TRUE"
"0623LAUR_01",2023-06-20,"LAUR",0,0,"TRUE"
"0623LAUR_02",2023-06-20,"LAUR",4,4,"TRUE"
"0623LAUR_03",2023-06-20,"LAUR",1,0.5,"FALSE"
"0623LAUR_04",2023-06-20,"LAUR",0.5,0,"FALSE"
"0623LAUR_05",2023-06-20,"LAUR",2,2,"TRUE"
"0623LAUR_06",2023-06-20,"LAUR",1,1,"TRUE"
"0623LAUR_07",2023-06-20,"LAUR",2,1,"FALSE"
"0623LAUR_08",2023-06-20,"LAUR",3,3,"TRUE"
"0623LAUR_09",2023-06-20,"LAUR",1,1,"TRUE"
"0623LAUR_10",2023-06-20,"LAUR",1,1,"TRUE"
"0624ASHC_01",2024-06-17,"ASHC",0,0,"TRUE"
"0624ASHC_04",2024-06-17,"ASHC",0,0,"TRUE"
"0624ASHC_05",2024-06-17,"ASHC",0.5,1,"FALSE"
"0624ASHC_06",2024-06-17,"ASHC",0.5,0.5,"TRUE"
"0624ASHC_09",2024-06-17,"ASHC",0.5,0.5,"TRUE"
"0624ASHC_16",2024-06-17,"ASHC",1,1,"TRUE"
"0624FENC_02",2024-06-18,"FENC",0,0.5,"FALSE"
"0624FENC_03",2024-06-18,"FENC",0,0.5,"FALSE"
"0624FENC_04",2024-06-18,"FENC",1,1,"TRUE"
"0624GOLD_01",2024-06-20,"GOLD",0,0,"TRUE"
"0624GOLD_02",2024-06-20,"GOLD",0,0,"TRUE"
"0624GOLD_08",2024-06-20,"GOLD",0.5,0.5,"TRUE"
"0625ASHC_04",2025-06-16,"ASHC",0.5,0.5,"TRUE"
"0625ASHC_11",2025-06-16,"ASHC",0.5,0.5,"TRUE"
"0625ASHC_24",2025-06-16,"ASHC",2,2,"TRUE"
"0625FENC_24",2025-06-17,"FENC",0,0,"TRUE"
"0625GOLD_17",2025-06-24,"GOLD",0,0,"TRUE"
"0625GOLD_18",2025-06-24,"GOLD",0,0,"TRUE"
"0625GOLD_23",2025-06-24,"GOLD",1,1,"TRUE"
"0723ASHC_05",2023-07-10,"ASHC",2,2,"TRUE"
"0723ASHC_09",2023-07-10,"ASHC",2,1,"FALSE"
"0723ASHC_10",2023-07-10,"ASHC",0,0,"TRUE"
"0723FENC_01",2023-07-12,"FENC",1,0.5,"FALSE"
"0723FENC_02",2023-07-12,"FENC",0.5,0,"FALSE"
"0723FENC_03",2023-07-12,"FENC",1,0.5,"FALSE"
"0723GOLD_01",2023-07-17,"GOLD",0,0,"TRUE"
"0723GOLD_02",2023-07-17,"GOLD",0.5,0,"FALSE"
"0723GOLD_03",2023-07-17,"GOLD",0.5,0.5,"TRUE"
"0723LAUR_01",2023-07-17,"LAUR",0.5,0.5,"TRUE"
"0723LAUR_02",2023-07-17,"LAUR",2,1,"FALSE"
"0723LAUR_03",2023-07-17,"LAUR",3,3,"TRUE"
"0724ASHC_03",2024-07-10,"ASHC",3,3,"TRUE"
"0724ASHC_04",2024-07-10,"ASHC",2,2,"TRUE"
"0724ASHC_05",2024-07-10,"ASHC",3,3,"TRUE"
"0724FENC_11",2024-07-01,"FENC",2,2,"TRUE"
"0724FENC_12",2024-07-01,"FENC",2,2,"TRUE"
"0724FENC_21",2024-07-01,"FENC",2,2,"TRUE"
"0724GOLD_01",2024-07-22,"GOLD",0.5,0,"FALSE"
"0724GOLD_05",2024-07-22,"GOLD",0,0,"TRUE"
"0724GOLD_06",2024-07-22,"GOLD",2,3,"FALSE"
"0725ASHC_01",2025-07-14,"ASHC",0.5,0.5,"TRUE"
"0725ASHC_04",2025-07-14,"ASHC",4,4,"TRUE"
"0725ASHC_18",2025-07-14,"ASHC",4,4,"TRUE"
"0725FENC_05",2025-07-16,"FENC",0.5,0.5,"TRUE"
"0725FENC_07",2025-07-16,"FENC",1,2,"FALSE"
"0725FENC_22",2025-07-16,"FENC",1,1,"TRUE"
"0725GOLD_02",2025-07-29,"GOLD",5,5,"TRUE"
"0725GOLD_19",2025-07-29,"GOLD",0.5,0.5,"TRUE"
"0725GOLD_20",2025-07-29,"GOLD",0.5,0.5,"TRUE"
"0823ASHC_01",2023-08-07,"ASHC",3,3,"TRUE"
"0823ASHC_02",2023-08-07,"ASHC",3,3,"TRUE"
"0823ASHC_03",2023-08-07,"ASHC",2,2,"TRUE"
"0823FENC_01",2023-08-09,"FENC",2,2,"TRUE"
"0823FENC_02",2023-08-09,"FENC",2,2,"TRUE"
"0823FENC_03",2023-08-09,"FENC",4,4,"TRUE"
"0823GOLD_01",2023-08-14,"GOLD",0,0,"TRUE"
"0823GOLD_02",2023-08-14,"GOLD",0,0,"TRUE"
"0823GOLD_03",2023-08-14,"GOLD",0,0,"TRUE"
"0823LAUR_01",2023-08-14,"LAUR",3,3,"TRUE"
"0823LAUR_02",2023-08-14,"LAUR",1,1,"TRUE"
"0823LAUR_03",2023-08-14,"LAUR",2,1,"FALSE"
"0823LAUR_04",2023-08-14,"LAUR",4,3,"FALSE"
"0823LAUR_05",2023-08-14,"LAUR",1,1,"TRUE"
"0823LAUR_06",2023-08-14,"LAUR",2,2,"TRUE"
"0823LAUR_07",2023-08-14,"LAUR",3,3,"TRUE"
"0823LAUR_08",2023-08-14,"LAUR",1,1,"TRUE"
"0824ASHC_05",2024-08-26,"ASHC",0.5,1,"FALSE"
"0824ASHC_06",2024-08-26,"ASHC",1,1,"TRUE"
"0824ASHC_12",2024-08-26,"ASHC",2,2,"TRUE"
"0824FENC_11",2024-08-27,"FENC",0.5,0.5,"TRUE"
"0824FENC_12",2024-08-27,"FENC",0,0,"TRUE"
"0824FENC_13",2024-08-27,"FENC",0,0,"TRUE"
"0824GOLD_05",2024-08-14,"GOLD",1,1,"TRUE"
"0824GOLD_06",2024-08-14,"GOLD",0.5,0.5,"TRUE"
"0824GOLD_14",2024-08-14,"GOLD",0,0,"TRUE"
"0825ASHC_20",2025-08-12,"ASHC",3,3,"TRUE"
"0825ASHC_27",2025-08-12,"ASHC",0.5,0.5,"TRUE"
"0825ASHC_28",2025-08-12,"ASHC",0.5,0.5,"TRUE"
"0825FENC_15",2025-08-14,"FENC",4,4,"TRUE"
"0825FENC_17",2025-08-14,"FENC",0.5,0.5,"TRUE"
"0825FENC_18",2025-08-14,"FENC",0.5,0.5,"TRUE"
"0825GOLD_01",2025-08-18,"GOLD",2,2,"TRUE"
"0825GOLD_02",2025-08-18,"GOLD",2,2,"TRUE"
"0825GOLD_07",2025-08-18,"GOLD",0,0,"TRUE"
"0923ASHC_01",2023-09-05,"ASHC",0,0,"TRUE"
"0923ASHC_02",2023-09-05,"ASHC",1,0.5,"FALSE"
"0923ASHC_03",2023-09-05,"ASHC",0.5,0.5,"TRUE"
"0923FENC_01",2023-09-06,"FENC",5,5,"TRUE"
"0923FENC_02",2023-09-06,"FENC",1,1,"TRUE"
"0923FENC_03",2023-09-06,"FENC",0,0.5,"FALSE"
"0923GOLD_01",2023-09-27,"GOLD",0,0.5,"FALSE"
"0923GOLD_02",2023-09-27,"GOLD",0,0.5,"FALSE"
"0923GOLD_03",2023-09-27,"GOLD",0,0.5,"FALSE"
"0923LAUR_01",2023-09-27,"LAUR",1,1,"TRUE"
"0923LAUR_02",2023-09-27,"LAUR",2,2,"TRUE"
"0923LAUR_05",2023-09-27,"LAUR",0.5,1,"FALSE"
"0923LAUR_23",2023-09-27,"LAUR",0,0,"TRUE"
"0924ASHC_08",2024-09-23,"ASHC",4,4,"TRUE"
"0924ASHC_09",2024-09-23,"ASHC",0.5,0.5,"TRUE"
"0924ASHC_21",2024-09-23,"ASHC",0.5,0.5,"TRUE"
"0924FENC_01",2024-09-25,"FENC",0.5,0.5,"TRUE"
"0924FENC_06",2024-09-25,"FENC",0.5,0.5,"TRUE"
"0924FENC_13",2024-09-25,"FENC",0,0,"TRUE"
"0924GOLD_04",2024-09-16,"GOLD",2,2,"TRUE"
"0924GOLD_09",2024-09-16,"GOLD",2,2,"TRUE"
"0924GOLD_10",2024-09-16,"GOLD",0,0,"TRUE"
"0925ASHC_03",2025-09-11,"ASHC",0.5,0.5,"TRUE"
"0925ASHC_04",2025-09-11,"ASHC",2,2,"TRUE"
"0925ASHC_20",2025-09-11,"ASHC",1,1,"TRUE"
"0925FENC_01",2025-09-15,"FENC",0.5,0.5,"TRUE"
"0925FENC_02",2025-09-15,"FENC",0.5,0.5,"TRUE"
"0925FENC_07",2025-09-15,"FENC",2,2,"TRUE"
"0925GOLD_11",2025-09-23,"GOLD",2,2,"TRUE"
"0925GOLD_12",2025-09-23,"GOLD",1,1,"TRUE"
"0925GOLD_23",2025-09-23,"GOLD",0.5,0.5,"TRUE"
"1023ASHC_01",2023-10-03,"ASHC",2,2,"TRUE"
"1023ASHC_02",2023-10-03,"ASHC",2,2,"TRUE"
"1023ASHC_03",2023-10-03,"ASHC",0.5,0.5,"TRUE"
"1023FENC_03",2023-10-05,"FENC",3,2,"FALSE"
"1023FENC_05",2023-10-05,"FENC",3,2,"FALSE"
"1023FENC_06",2023-10-05,"FENC",1,2,"FALSE"
"1023GOLD_01",2023-10-16,"GOLD",1,1,"TRUE"
"1023GOLD_02",2023-10-16,"GOLD",0,0,"TRUE"
"1023GOLD_03",2023-10-16,"GOLD",0,0,"TRUE"
"1023LAUR_01",2023-10-17,"LAUR",3,3,"TRUE"
"1023LAUR_02",2023-10-17,"LAUR",0,0,"TRUE"
"1023LAUR_03",2023-10-17,"LAUR",3,3,"TRUE"
"1024ASHC_07",2024-10-21,"ASHC",3,3,"TRUE"
"1024ASHC_08",2024-10-21,"ASHC",0.5,0.5,"TRUE"
"1024ASHC_14",2024-10-21,"ASHC",4,4,"TRUE"
"1024FENC_05",2024-10-23,"FENC",1,1,"TRUE"
"1024FENC_06",2024-10-23,"FENC",1,1,"TRUE"
"1024FENC_08",2024-10-23,"FENC",1,1,"TRUE"
"1024GOLD_15",2024-10-15,"GOLD",5,5,"TRUE"
"1024GOLD_21",2024-10-15,"GOLD",1,1,"TRUE"
"1024GOLD_22",2024-10-15,"GOLD",5,5,"TRUE"
"1025ASHC_11",2025-10-16,"ASHC",1,1,"TRUE"
"1025ASHC_12",2025-10-16,"ASHC",1,1,"TRUE"
"1025ASHC_18",2025-10-16,"ASHC",3,3,"TRUE"
"1025FENC_21",2025-10-14,"FENC",0.5,0.5,"TRUE"
"1025FENC_22",2025-10-14,"FENC",1,1,"TRUE"
"1025FENC_29",2025-10-14,"FENC",1,1,"TRUE"
"1025FENC_30",2025-10-14,"FENC",0.5,0.5,"TRUE"
"1123ASHC_03",2023-11-06,"ASHC",1,1,"TRUE"
"1123ASHC_04",2023-11-06,"ASHC",1,0.5,"FALSE"
"1123ASHC_11",2023-11-06,"ASHC",2,2,"TRUE"
"1123ASHC_12",2023-11-06,"ASHC",1,1,"TRUE"
"1123ASHC_25",2023-11-06,"ASHC",1,1,"TRUE"
"1123ASHC_26",2023-11-06,"ASHC",1,0.5,"FALSE"
"1123FENC_01",2023-11-08,"FENC",0.5,0.5,"TRUE"
"1123FENC_02",2023-11-08,"FENC",0.5,0.5,"TRUE"
"1123FENC_11",2023-11-08,"FENC",1,1,"TRUE"
"1123FENC_12",2023-11-08,"FENC",1,1,"TRUE"
"1123FENC_13",2023-11-08,"FENC",1,1,"TRUE"
"1123FENC_14",2023-11-08,"FENC",0,0.5,"FALSE"
"1123FENC_25",2023-11-08,"FENC",0,0.5,"FALSE"
"1123FENC_26",2023-11-08,"FENC",0.5,0.5,"TRUE"
"1124ASHC_07",2024-11-13,"ASHC",0,0,"TRUE"
"1124ASHC_08",2024-11-13,"ASHC",0,0,"TRUE"
"1124ASHC_10",2024-11-13,"ASHC",1,1,"TRUE"
"1124ASHC_20",2024-11-13,"ASHC",1,1,"TRUE"
"1124FENC_05",2024-11-12,"FENC",0,0,"TRUE"
"1124FENC_06",2024-11-12,"FENC",1,1,"TRUE"
"1124FENC_26",2024-11-12,"FENC",3,3,"TRUE"
"1124GOLD_10",2024-11-18,"GOLD",0,0,"TRUE"
"1124GOLD_17",2024-11-18,"GOLD",0.5,1,"FALSE"
"1124GOLD_18",2024-11-18,"GOLD",0.5,0.5,"TRUE"
"1125ASHC_13",2025-11-10,"ASHC",1,1,"TRUE"
"1125ASHC_14",2025-11-10,"ASHC",1,1,"TRUE"
"1125ASHC_23",2025-11-10,"ASHC",0.5,0.5,"TRUE"
"1125FENC_23",2025-11-12,"FENC",0.5,0.5,"TRUE"
"1125FENC_24",2025-11-12,"FENC",0,0.5,"FALSE"
"1125FENC_29",2025-11-12,"FENC",0.5,0.5,"TRUE"
"1224ASHC_01",2024-12-09,"ASHC",1,1,"TRUE"
"1224ASHC_02",2024-12-09,"ASHC",0.5,0.5,"TRUE"
"1224ASHC_08",2024-12-09,"ASHC",0,0,"TRUE"
"1224FENC_01",2024-12-10,"FENC",0.5,0.5,"TRUE"
"1224FENC_02",2024-12-10,"FENC",0,0.5,"FALSE"
"1224FENC_21",2024-12-10,"FENC",3,3,"TRUE"
"1225ASHC_01",2025-12-09,"ASHC",0.5,0.5,"TRUE"
"1225ASHC_02",2025-12-09,"ASHC",0,0,"TRUE"
"1225ASHC_05",2025-12-09,"ASHC",1,1,"TRUE"
"1225FENC_11",2025-12-11,"FENC",3,3,"TRUE"
"1225FENC_12",2025-12-11,"FENC",0.5,0.5,"TRUE"
"1225FENC_15",2025-12-11,"FENC",0.5,0.5,"TRUE"
"1225GOLD_03",2025-12-08,"GOLD",1,1,"TRUE"
"1225GOLD_04",2025-12-08,"GOLD",1,2,"FALSE"
