Sample_ID,Date_collected,Site,Lab_sample,Date_read1,reader1,Sex1,Stage1,Duplicate_read,Date_read2,reader2,Sex2,Stage2,Date_read3,reader3,Sex3,Stage3,Notes,Sex_final,Stage_final
0623GOLD_01,06-20-2023,GOLD,1,04-24-2025,Kyra Lenderman,Hermaphrodite,3_Early_Active,FALSE,,,,,04-23-2025,Sarina Dery,Hermaphrodite ,4_Late_Mature,,Hermaphrodite,6_Post_Spawning
0623GOLD_02,06-20-2023,GOLD,2,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Female,4_Late_Mature,partially spawned -SD,Female,5_Spawning
0623GOLD_03,06-20-2023,GOLD,3,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Male,4_Late_Mature,,Male,5_Spawning
0623GOLD_04,06-20-2023,GOLD,4,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,03-25-2025,Mariah Kachmar,Female,5_Spawning,04-23-2025,Sarina Dery,Female,4_Late_Mature,partially spawned -SD,Female,5_Spawning
0623GOLD_05,06-20-2023,GOLD,5,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Male,4_Late_Mature,,Male,5_Spawning
0623GOLD_06,06-20-2023,GOLD,6,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,03-25-2025,Mariah Kachmar,Female,5_Spawning,04-23-2025,Sarina Dery,Female,4_Late_Mature,partially spawned -SD,Female,5_Spawning
0623GOLD_07,06-20-2023,GOLD,7,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Male,4_Late_Mature,,Male,5_Spawning
0623GOLD_08,06-20-2023,GOLD,8,04-24-2025,Kyra Lenderman,Female,5_Spawning,FALSE,,,,,04-23-2025,Sarina Dery,Female,4_Late_Mature,partially spawned -SD,Female,5_Spawning
0623GOLD_09,06-20-2023,GOLD,9,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Female,4_Late_Mature,,Female,5_Spawning
0623GOLD_10,06-20-2023,GOLD,10,04-24-2025,Kyra Lenderman,Male,3_Early_Active,FALSE,,,,,04-23-2025,Sarina Dery,Male,3_Early_Active,majority w/o tails -SD,Male,5_Spawning
0623GOLD_11,06-20-2023,GOLD,11,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Male,3_Early_Active,,Male,4_Late_Mature
0623GOLD_12,06-20-2023,GOLD,12,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,03-25-2025,Mariah Kachmar,Female,5_Spawning,04-23-2025,Sarina Dery,Female,4_Late_Mature,partially spawning - KL,Female,5_Spawning
0623GOLD_13,06-20-2023,GOLD,13,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Female,4_Late_Mature,diseased -SD,Female,6_Post_Spawning
0623GOLD_14,06-20-2023,GOLD,14,04-24-2025,Kyra Lenderman,Male,3_Early_Active,FALSE,,,,,04-23-2025,Sarina Dery,Male,3_Early_Active,,Male,5_Spawning
0623GOLD_15,06-20-2023,GOLD,15,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Female,4_Late_Mature,abnormal egg shapes,Female,5_Spawning
0623GOLD_16,06-20-2023,GOLD,16,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-23-2025,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0623GOLD_17,06-20-2023,GOLD,17,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,03-25-2025,Mariah Kachmar,Male,5_Spawning,04-23-2025,Sarina Dery,Male,4_Late_Mature,,Male,5_Spawning
0623GOLD_18,06-20-2023,GOLD,18,04-24-2025,Kyra Lenderman,Male,3_Early_Active,FALSE,,,,,04-23-2025,Sarina Dery,Male,3_Early_Active,,Male,4_Late_Mature
0623GOLD_19,06-20-2023,GOLD,19,04-24-2025,Kyra Lenderman,Male,3_Early_Active,FALSE,,,,,04-23-2025,Sarina Dery,Male,3_Early_Active,partially late  mature  -SD,Male,5_Spawning
0623GOLD_20,06-20-2023,GOLD,20,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,03-25-2025,Mariah Kachmar,Female,5_Spawning,04-23-2025,Sarina Dery,Female,4_Late_Mature,,Female,5_Spawning
0623GOLD_21,06-20-2023,GOLD,21,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-21-2025,Sarina Dery,Male,4_Late_Mature,some sections spawned -SD,Male,5_Spawning
0623GOLD_22,06-20-2023,GOLD,22,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-21-2025,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0623GOLD_23,06-20-2023,GOLD,23,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-21-2025,Sarina Dery,Male,4_Late_Mature,not much mantle present ,Male,4_Late_Mature
0623GOLD_24,06-20-2023,GOLD,24,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-21-2025,Sarina Dery,Male,4_Late_Mature,,Male,4_Late_Mature
0623GOLD_25,06-20-2023,GOLD,25,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,TRUE,03-25-2025,Mariah Kachmar,Male,4_Late_Mature,04-21-2025,Sarina Dery,Male,4_Late_Mature,looks like there's a cut animal ,Male,4_Late_Mature
0623GOLD_26,06-20-2023,GOLD,26,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,FALSE,,,,,04-21-2025,Sarina Dery,Female,4_Late_Mature,,Female,5_Spawning
0623GOLD_27,06-20-2023,GOLD,27,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-21-2025,Sarina Dery,Male,4_Late_Mature,"some spots of connective tissue between follicles, early active -SD",Male,5_Spawning
0623GOLD_28,06-20-2023,GOLD,28,04-24-2025,Kyra Lenderman,Female,4_Late_Mature,TRUE,03-25-2025,Mariah Kachmar,Female,5_Spawning,04-21-2025,Sarina Dery,Male,3_Early_Active,Many hemocytes,Female,5_Spawning
0623GOLD_29,06-20-2023,GOLD,29,04-24-2025,Kyra Lenderman,Female,3_Early_Active,FALSE,,,,,04-21-2025,Sarina Dery,Female,4_Late_Mature,,Female,5_Spawning
0623GOLD_30,06-20-2023,GOLD,30,04-24-2025,Kyra Lenderman,Male,4_Late_Mature,FALSE,,,,,04-21-2025,Sarina Dery,Male,4_Late_Mature,,Male,5_Spawning