File Name,0423FENC_qPCR.pcrd,,,,,,,,
Created By User,admin,,,,,,,,
Notes,,,,,,,,,
ID,,,,,,,,,
Run Started,08/13/2025 17:12:42 UTC,,,,,,,,
Run Ended,08/13/2025 18:21:52 UTC,,,,,,,,
Sample Vol,20,,,,,,,,
Lid Temp,105,,,,,,,,
Protocol File Name,Template_30_samples_triplex.prcl,,,,,,,,
Plate Setup File Name,Template_30_samples_triplex.pltd,,,,,,,,
Base Serial Number,795BR20267,,,,,,,,
Optical Head Serial Number,795BR20267,,,,,,,,
CFX Maestro Version,5.3.022.1030. ,,,,,,,,
,E%,R^2,,,,,,,
FAM,93.2,0.932,,,,,,,
HEX,151.7,0.807,,,,,,,
Cy5,228.4,0.745,,,,,,,
Well group,All Wells,,,,,,,,
Amplification step,3,,,,,,,,
Melt step,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Well,Fluor,Content,Replicate,Cq,Starting Quantity (SQ),Cq Mean,Cq Std. Dev,SQ Std. Dev,Melt Temperature
A01,Cy5,Std-01,1,NaN,10,0,0,0,
A02,Cy5,Std-01,1,NaN,10,0,0,0,
A03,Cy5,Std-01,1,NaN,10,0,0,0,
A04,Cy5,Unkn-01,1,NaN,NaN,0,0,0,
A05,Cy5,Unkn-01,1,NaN,NaN,0,0,0,
A06,Cy5,Unkn-09,9,NaN,NaN,0,0,0,
A07,Cy5,Unkn-09,9,NaN,NaN,0,0,0,
A08,Cy5,Unkn-17,17,NaN,NaN,0,0,0,
A09,Cy5,Unkn-17,17,NaN,NaN,0,0,0,
A10,Cy5,Unkn-25,25,37.38536952,0.546082349,36.89434867,0.694408336,0.855084646,
A11,Cy5,Unkn-25,25,36.40332783,1.755354653,36.89434867,0.694408336,0.855084646,
A12,Cy5,NTC-01,1,NaN,NaN,0,0,0,
B01,Cy5,Std-02,2,31.55801725,100,31.65785907,0.128183785,0,
B02,Cy5,Std-02,2,31.61315022,100,31.65785907,0.128183785,0,
B03,Cy5,Std-02,2,31.80240974,100,31.65785907,0.128183785,0,
B04,Cy5,Unkn-02,2,NaN,NaN,0,0,0,
B05,Cy5,Unkn-02,2,NaN,NaN,0,0,0,
B06,Cy5,Unkn-10,10,NaN,NaN,0,0,0,
B07,Cy5,Unkn-10,10,NaN,NaN,0,0,0,
B08,Cy5,Unkn-18,18,NaN,NaN,0,0,0,
B09,Cy5,Unkn-18,18,NaN,NaN,0,0,0,
B10,Cy5,Unkn-26,26,NaN,NaN,0,0,0,
B11,Cy5,Unkn-26,26,NaN,NaN,0,0,0,
B12,Cy5,NTC-02,2,NaN,NaN,0,0,0,
C01,Cy5,Std-03,3,29.22415932,1000,29.47838947,0.252837064,0,
C02,Cy5,Std-03,3,29.48119906,1000,29.47838947,0.252837064,0,
C03,Cy5,Std-03,3,29.72981004,1000,29.47838947,0.252837064,0,
C04,Cy5,Unkn-03,3,NaN,NaN,0,0,0,
C05,Cy5,Unkn-03,3,NaN,NaN,0,0,0,
C06,Cy5,Unkn-11,11,NaN,NaN,0,0,0,
C07,Cy5,Unkn-11,11,NaN,NaN,0,0,0,
C08,Cy5,Unkn-19,19,38.08310355,0.238211215,38.04496489,0.053936215,0.015990819,
C09,Cy5,Unkn-19,19,38.00682622,0.260825648,38.04496489,0.053936215,0.015990819,
C10,Cy5,Unkn-27,27,NaN,NaN,0,0,0,
C11,Cy5,Unkn-27,27,NaN,NaN,0,0,0,
C12,Cy5,NTC-03,3,NaN,NaN,0,0,0,
D01,Cy5,Std-04,4,NaN,10000,0,0,0,
D02,Cy5,Std-04,4,NaN,10000,0,0,0,
D03,Cy5,Std-04,4,NaN,10000,0,0,0,
D04,Cy5,Unkn-04,4,NaN,NaN,0,0,0,
D05,Cy5,Unkn-04,4,NaN,NaN,0,0,0,
D06,Cy5,Unkn-12,12,NaN,NaN,0,0,0,
D07,Cy5,Unkn-12,12,36.72013083,1.204409367,36.72013083,0,0,
D08,Cy5,Unkn-20,20,NaN,NaN,0,0,0,
D09,Cy5,Unkn-20,20,35.372757,5.977658371,35.372757,0,0,
D10,Cy5,Unkn-28,28,34.86561619,10.92467407,34.9092732,0.061740331,0.761752695,
D11,Cy5,Unkn-28,28,34.95293021,9.847393074,34.9092732,0.061740331,0.761752695,
E01,Cy5,Std-05,5,31.41882656,100000,31.19813693,0.192856437,0,
E02,Cy5,Std-05,5,31.11359273,100000,31.19813693,0.192856437,0,
E03,Cy5,Std-05,5,31.0619915,100000,31.19813693,0.192856437,0,
E04,Cy5,Unkn-05,5,36.10922065,2.490209909,36.27885304,0.239896431,0.584508305,
E05,Cy5,Unkn-05,5,36.44848543,1.663590337,36.27885304,0.239896431,0.584508305,
E06,Cy5,Unkn-13,13,NaN,NaN,0,0,0,
E07,Cy5,Unkn-13,13,NaN,NaN,0,0,0,
E08,Cy5,Unkn-21,21,NaN,NaN,0,0,0,
E09,Cy5,Unkn-21,21,NaN,NaN,0,0,0,
E10,Cy5,Unkn-29,29,NaN,NaN,0,0,0,
E11,Cy5,Unkn-29,29,NaN,NaN,0,0,0,
F01,Cy5,Std-06,6,28.03521172,1000000,27.71829942,0.336167078,0,
F02,Cy5,Std-06,6,27.36572153,1000000,27.71829942,0.336167078,0,
F03,Cy5,Std-06,6,27.753965,1000000,27.71829942,0.336167078,0,
F04,Cy5,Unkn-06,6,NaN,NaN,0,0,0,
F05,Cy5,Unkn-06,6,NaN,NaN,0,0,0,
F06,Cy5,Unkn-14,14,NaN,NaN,0,0,0,
F07,Cy5,Unkn-14,14,NaN,NaN,0,0,0,
F08,Cy5,Unkn-22,22,37.80091608,0.333179431,38.5261164,1.025588129,0.193597696,
F09,Cy5,Unkn-22,22,39.25131673,0.059390944,38.5261164,1.025588129,0.193597696,
F10,Cy5,Unkn-30,30,NaN,NaN,0,0,0,
F11,Cy5,Unkn-30,30,NaN,NaN,0,0,0,
G01,Cy5,Std-07,7,22.47090214,10000000,22.40126946,0.176637574,0,
G02,Cy5,Std-07,7,22.53247811,10000000,22.40126946,0.176637574,0,
G03,Cy5,Std-07,7,22.20042812,10000000,22.40126946,0.176637574,0,
G04,Cy5,Unkn-07,7,NaN,NaN,0,0,0,
G05,Cy5,Unkn-07,7,NaN,NaN,0,0,0,
G06,Cy5,Unkn-15,15,NaN,NaN,0,0,0,
G07,Cy5,Unkn-15,15,38.31318754,0.181197174,38.31318754,0,0,
G08,Cy5,Unkn-23,23,34.85927534,11.00735004,34.79617061,0.089243573,1.26019665,
G09,Cy5,Unkn-23,23,34.73306587,12.78953724,34.79617061,0.089243573,1.26019665,
H01,Cy5,Std-08,8,18.68450283,100000000,18.77207044,0.282165402,0,
H02,Cy5,Std-08,8,19.08763771,100000000,18.77207044,0.282165402,0,
H03,Cy5,Std-08,8,18.54407079,100000000,18.77207044,0.282165402,0,
H04,Cy5,Unkn-08,8,NaN,NaN,0,0,0,
H05,Cy5,Unkn-08,8,NaN,NaN,0,0,0,
H06,Cy5,Unkn-16,16,NaN,NaN,0,0,0,
H07,Cy5,Unkn-16,16,NaN,NaN,0,0,0,
H08,Cy5,Unkn-24,24,37.19700103,0.683168553,36.67660773,0.735947263,1.182080507,
H09,Cy5,Unkn-24,24,36.15621443,2.354882837,36.67660773,0.735947263,1.182080507,
A01,FAM,Std-01,1,NaN,10,0,0,0,
A02,FAM,Std-01,1,NaN,10,0,0,0,
A03,FAM,Std-01,1,NaN,10,0,0,0,
A04,FAM,Unkn-01,1,30.00738682,84396.45386,30.06099428,0.075812399,4068.377634,
A05,FAM,Unkn-01,1,30.11460175,78642.89903,30.06099428,0.075812399,4068.377634,
A06,FAM,Unkn-09,9,32.46361562,16742.29128,32.53355444,0.098908428,1041.831279,
A07,FAM,Unkn-09,9,32.60349326,15268.91935,32.53355444,0.098908428,1041.831279,
A08,FAM,Unkn-17,17,32.1245391,20931.224,31.79564701,0.465123658,8024.525274,
A09,FAM,Unkn-17,17,31.46675491,32279.61647,31.79564701,0.465123658,8024.525274,
A10,FAM,Unkn-25,25,28.22832592,272367.8266,28.29280258,0.091183778,15680.56758,
A11,FAM,Unkn-25,25,28.35727925,250192.1553,28.29280258,0.091183778,15680.56758,
A12,FAM,NTC-01,1,NaN,NaN,0,0,0,
B01,FAM,Std-02,2,38.30470441,100,38.46648114,0.49650383,0,
B02,FAM,Std-02,2,38.07104265,100,38.46648114,0.49650383,0,
B03,FAM,Std-02,2,39.02369636,100,38.46648114,0.49650383,0,
B04,FAM,Unkn-02,2,29.01198335,162562.6932,29.10343979,0.129338928,13045.2998,
B05,FAM,Unkn-02,2,29.19489622,144113.8533,29.10343979,0.129338928,13045.2998,
B06,FAM,Unkn-10,10,30.98879682,44221.12663,30.97432522,0.020465933,601.7359078,
B07,FAM,Unkn-10,10,30.95985362,45072.10971,30.97432522,0.020465933,601.7359078,
B08,FAM,Unkn-18,18,35.37861481,2455.229241,35.39928334,0.029229711,46.62485502,
B09,FAM,Unkn-18,18,35.41995187,2389.291738,35.39928334,0.029229711,46.62485502,
B10,FAM,Unkn-26,26,NaN,NaN,0,0,0,
B11,FAM,Unkn-26,26,NaN,NaN,0,0,0,
B12,FAM,NTC-02,2,NaN,NaN,0,0,0,
C01,FAM,Std-03,3,36.86208322,1000,36.41148201,0.50231557,0,
C02,FAM,Std-03,3,36.50247216,1000,36.41148201,0.50231557,0,
C03,FAM,Std-03,3,35.86989065,1000,36.41148201,0.50231557,0,
C04,FAM,Unkn-03,3,29.26557223,137559.8175,29.31835733,0.074649404,6532.91816,
C05,FAM,Unkn-03,3,29.37114243,128320.876,29.31835733,0.074649404,6532.91816,
C06,FAM,Unkn-11,11,30.54882801,59083.45398,30.57938216,0.043210096,1647.936716,
C07,FAM,Unkn-11,11,30.60993631,56752.91953,30.57938216,0.043210096,1647.936716,
C08,FAM,Unkn-19,19,27.39456507,471651.1184,27.4297796,0.049800866,15115.54757,
C09,FAM,Unkn-19,19,27.46499413,450274.506,27.4297796,0.049800866,15115.54757,
C10,FAM,Unkn-27,27,NaN,NaN,0,0,0,
C11,FAM,Unkn-27,27,39.1684972,202.3683929,39.1684972,0,0,
C12,FAM,NTC-03,3,NaN,NaN,0,0,0,
D01,FAM,Std-04,4,36.31632558,10000,37.15189828,1.102341703,0,
D02,FAM,Std-04,4,38.401262,10000,37.15189828,1.102341703,0,
D03,FAM,Std-04,4,36.73810725,10000,37.15189828,1.102341703,0,
D04,FAM,Unkn-04,4,21.02998096,31186320.65,21.0468469,0.023852036,484477.5163,
D05,FAM,Unkn-04,4,21.06371284,30501165.97,21.0468469,0.023852036,484477.5163,
D06,FAM,Unkn-12,12,NaN,NaN,0,0,0,
D07,FAM,Unkn-12,12,37.288486,697.9868148,37.288486,0,0,
D08,FAM,Unkn-20,20,NaN,NaN,0,0,0,
D09,FAM,Unkn-20,20,37.50709024,604.3992594,37.50709024,0,0,
D10,FAM,Unkn-28,28,28.13163861,290274.8927,28.13314236,0.002126625,406.1339205,
D11,FAM,Unkn-28,28,28.13464611,289700.5326,28.13314236,0.002126625,406.1339205,
E01,FAM,Std-05,5,30.16445026,100000,30.15012405,0.07345771,0,
E02,FAM,Std-05,5,30.07055857,100000,30.15012405,0.07345771,0,
E03,FAM,Std-05,5,30.21536333,100000,30.15012405,0.07345771,0,
E04,FAM,Unkn-05,5,36.39164177,1259.954443,36.26272553,0.182315096,164.8805915,
E05,FAM,Unkn-05,5,36.13380929,1493.130811,36.26272553,0.182315096,164.8805915,
E06,FAM,Unkn-13,13,30.93658786,45768.02362,30.8680485,0.096929299,3057.50151,
E07,FAM,Unkn-13,13,30.79950913,50091.98372,30.8680485,0.096929299,3057.50151,
E08,FAM,Unkn-21,21,33.25540452,9939.265315,33.35654958,0.143040713,876.6079002,
E09,FAM,Unkn-21,21,33.45769464,8699.554533,33.35654958,0.143040713,876.6079002,
E10,FAM,Unkn-29,29,37.96716333,446.413995,37.61624845,0.496268579,185.4718766,
E11,FAM,Unkn-29,29,37.26533357,708.7108383,37.61624845,0.496268579,185.4718766,
F01,FAM,Std-06,6,24.62049569,1000000,24.6679479,0.065503682,0,
F02,FAM,Std-06,6,24.7426833,1000000,24.6679479,0.065503682,0,
F03,FAM,Std-06,6,24.64066471,1000000,24.6679479,0.065503682,0,
F04,FAM,Unkn-06,6,35.61947209,2095.096992,36.55215018,1.319006003,1047.770592,
F05,FAM,Unkn-06,6,37.48482827,613.3256116,36.55215018,1.319006003,1047.770592,
F06,FAM,Unkn-14,14,38.94227256,234.879706,38.94227256,0,0,
F07,FAM,Unkn-14,14,NaN,NaN,0,0,0,
F08,FAM,Unkn-22,22,32.35515121,17981.95654,32.45779763,0.145163955,1607.930831,
F09,FAM,Unkn-22,22,32.56044405,15707.99895,32.45779763,0.145163955,1607.930831,
F10,FAM,Unkn-30,30,33.63006526,7765.994161,33.565889,0.090758939,484.3617588,
F11,FAM,Unkn-30,30,33.50171274,8450.98513,33.565889,0.090758939,484.3617588,
G01,FAM,Std-07,7,21.54502203,10000000,21.39363221,0.131195577,0,
G02,FAM,Std-07,7,21.31312897,10000000,21.39363221,0.131195577,0,
G03,FAM,Std-07,7,21.32274562,10000000,21.39363221,0.131195577,0,
G04,FAM,Unkn-07,7,34.3161783,4942.662391,34.15209245,0.232052423,843.1819794,
G05,FAM,Unkn-07,7,33.98800661,6135.101782,34.15209245,0.232052423,843.1819794,
G06,FAM,Unkn-15,15,30.50501229,60813.17357,30.48609363,0.026755027,1084.98616,
G07,FAM,Unkn-15,15,30.46717497,62347.57571,30.48609363,0.026755027,1084.98616,
G08,FAM,Unkn-23,23,36.7697838,982.2045316,37.15178982,0.5402381,274.5993647,
G09,FAM,Unkn-23,23,37.53379584,593.8623858,37.15178982,0.5402381,274.5993647,
H01,FAM,Std-08,8,20.16558401,100000000,20.00695984,0.385971634,0,
H02,FAM,Std-08,8,20.28834553,100000000,20.00695984,0.385971634,0,
H03,FAM,Std-08,8,19.56694999,100000000,20.00695984,0.385971634,0,
H04,FAM,Unkn-08,8,39.21455819,196.3218859,38.4786117,1.040785498,227.1379382,
H05,FAM,Unkn-08,8,37.74266522,517.5434386,38.4786117,1.040785498,227.1379382,
H06,FAM,Unkn-16,16,35.66433033,2034.108751,35.74597403,0.115461622,146.645583,
H07,FAM,Unkn-16,16,35.82761772,1826.720579,35.74597403,0.115461622,146.645583,
H08,FAM,Unkn-24,24,NaN,NaN,0,0,0,
H09,FAM,Unkn-24,24,38.99739458,226.5061367,38.99739458,0,0,
A01,HEX,Std-01,1,38.99222314,10,38.99222314,0,0,
A02,HEX,Std-01,1,NaN,10,0,0,0,
A03,HEX,Std-01,1,NaN,10,0,0,0,
A04,HEX,Unkn-01,1,NaN,NaN,0,0,0,
A05,HEX,Unkn-01,1,36.57936778,24.84861961,36.57936778,0,0,
A06,HEX,Unkn-09,9,NaN,NaN,0,0,0,
A07,HEX,Unkn-09,9,NaN,NaN,0,0,0,
A08,HEX,Unkn-17,17,35.3366924,78.22803525,35.23372571,0.145616878,11.57806623,
A09,HEX,Unkn-17,17,35.13075903,94.60189353,35.23372571,0.145616878,11.57806623,
A10,HEX,Unkn-25,25,36.72068738,21.81031018,36.39588746,0.459336456,12.66471352,
A11,HEX,Unkn-25,25,36.07108753,39.7209198,36.39588746,0.459336456,12.66471352,
A12,HEX,NTC-01,1,NaN,NaN,0,0,0,
B01,HEX,Std-02,2,31.47085168,100,31.49598819,0.181707784,0,
B02,HEX,Std-02,2,31.32815735,100,31.49598819,0.181707784,0,
B03,HEX,Std-02,2,31.68895555,100,31.49598819,0.181707784,0,
B04,HEX,Unkn-02,2,NaN,NaN,0,0,0,
B05,HEX,Unkn-02,2,35.73733833,54.04865192,35.73733833,0,0,
B06,HEX,Unkn-10,10,36.18109187,35.88640253,36.74741134,0.800896676,16.45362558,
B07,HEX,Unkn-10,10,37.31373082,12.61746208,36.74741134,0.800896676,16.45362558,
B08,HEX,Unkn-18,18,36.14166355,37.21625461,36.55754109,0.588139651,14.10200415,
B09,HEX,Unkn-18,18,36.97341862,17.27300909,36.55754109,0.588139651,14.10200415,
B10,HEX,Unkn-26,26,37.47649165,10.8577042,37.34421646,0.187065373,2.123072127,
B11,HEX,Unkn-26,26,37.21194127,13.8601816,37.34421646,0.187065373,2.123072127,
B12,HEX,NTC-02,2,NaN,NaN,0,0,0,
C01,HEX,Std-03,3,32.4429745,1000,32.40688765,0.037451414,0,
C02,HEX,Std-03,3,32.4094819,1000,32.40688765,0.037451414,0,
C03,HEX,Std-03,3,32.36820657,1000,32.40688765,0.037451414,0,
C04,HEX,Unkn-03,3,NaN,NaN,0,0,0,
C05,HEX,Unkn-03,3,NaN,NaN,0,0,0,
C06,HEX,Unkn-11,11,34.52383518,165.6352955,34.87877096,0.501954991,56.29101188,
C07,HEX,Unkn-11,11,35.23370674,86.02778302,34.87877096,0.501954991,56.29101188,
C08,HEX,Unkn-19,19,39.0768042,2.47935131,37.58618937,2.108047703,25.70616706,
C09,HEX,Unkn-19,19,36.09557455,38.8333614,37.58618937,2.108047703,25.70616706,
C10,HEX,Unkn-27,27,37.5528907,10.11853229,38.28224752,1.031466305,5.292988781,
C11,HEX,Unkn-27,27,39.01160434,2.633115768,38.28224752,1.031466305,5.292988781,
C12,HEX,NTC-03,3,NaN,NaN,0,0,0,
D01,HEX,Std-04,4,31.46832652,10000,31.40599304,0.194385311,0,
D02,HEX,Std-04,4,31.56156556,10000,31.40599304,0.194385311,0,
D03,HEX,Std-04,4,31.18808703,10000,31.40599304,0.194385311,0,
D04,HEX,Unkn-04,4,18.78331331,337210924.1,18.77540563,0.01118315,3505732.72,
D05,HEX,Unkn-04,4,18.76749795,342168778.8,18.77540563,0.01118315,3505732.72,
D06,HEX,Unkn-12,12,38.26597364,5.23981863,37.08850248,1.665195684,28.85263213,
D07,HEX,Unkn-12,12,35.91103132,46.0436023,37.08850248,1.665195684,28.85263213,
D08,HEX,Unkn-20,20,NaN,NaN,0,0,0,
D09,HEX,Unkn-20,20,36.90090807,18.46843044,36.90090807,0,0,
D10,HEX,Unkn-28,28,39.36010902,1.908931907,39.36010902,0,0,
D11,HEX,Unkn-28,28,NaN,NaN,0,0,0,
E01,HEX,Std-05,5,29.64209218,100000,29.66896613,0.030263178,0,
E02,HEX,Std-05,5,29.70174744,100000,29.66896613,0.030263178,0,
E03,HEX,Std-05,5,29.66305878,100000,29.66896613,0.030263178,0,
E04,HEX,Unkn-05,5,34.39694529,186.2129733,34.58080212,0.260012828,37.89109685,
E05,HEX,Unkn-05,5,34.76465895,132.6268702,34.58080212,0.260012828,37.89109685,
E06,HEX,Unkn-13,13,NaN,NaN,0,0,0,
E07,HEX,Unkn-13,13,NaN,NaN,0,0,0,
E08,HEX,Unkn-21,21,27.14417068,150278.8431,27.11104834,0.046842068,6699.102964,
E09,HEX,Unkn-21,21,27.07792599,159752.8054,27.11104834,0.046842068,6699.102964,
E10,HEX,Unkn-29,29,NaN,NaN,0,0,0,
E11,HEX,Unkn-29,29,39.48124809,1.707018789,39.48124809,0,0,
F01,HEX,Std-06,6,28.80667586,1000000,28.41477489,0.345004192,0,
F02,HEX,Std-06,6,28.28077691,1000000,28.41477489,0.345004192,0,
F03,HEX,Std-06,6,28.15687189,1000000,28.41477489,0.345004192,0,
F04,HEX,Unkn-06,6,36.337576,31.06072623,36.90025777,0.795752188,14.1890691,
F05,HEX,Unkn-06,6,37.46293954,10.99435227,36.90025777,0.795752188,14.1890691,
F06,HEX,Unkn-14,14,37.6050303,9.643177146,37.3919415,0.301353071,3.285764563,
F07,HEX,Unkn-14,14,37.1788527,14.28994995,37.3919415,0.301353071,3.285764563,
F08,HEX,Unkn-22,22,NaN,NaN,0,0,0,
F09,HEX,Unkn-22,22,NaN,NaN,0,0,0,
F10,HEX,Unkn-30,30,NaN,NaN,0,0,0,
F11,HEX,Unkn-30,30,NaN,NaN,0,0,0,
G01,HEX,Std-07,7,23.25546925,10000000,23.35768356,0.104115201,0,
G02,HEX,Std-07,7,23.46360085,10000000,23.35768356,0.104115201,0,
G03,HEX,Std-07,7,23.35398059,10000000,23.35768356,0.104115201,0,
G04,HEX,Unkn-07,7,35.22918058,86.38787692,35.50928401,0.396126078,24.65968245,
G05,HEX,Unkn-07,7,35.78938745,51.51381956,35.50928401,0.396126078,24.65968245,
G06,HEX,Unkn-15,15,37.37741418,11.89728676,37.26458186,0.159568984,1.947796457,
G07,HEX,Unkn-15,15,37.15174955,14.65188693,37.26458186,0.159568984,1.947796457,
G08,HEX,Unkn-23,23,34.51478815,167.0240108,34.80247542,0.406851247,48.65645616,
G09,HEX,Unkn-23,23,35.0901627,98.21339065,34.80247542,0.406851247,48.65645616,
H01,HEX,Std-08,8,15.77510894,100000000,15.87293881,0.089764292,0,
H02,HEX,Std-08,8,15.89219543,100000000,15.87293881,0.089764292,0,
H03,HEX,Std-08,8,15.95151206,100000000,15.87293881,0.089764292,0,
H04,HEX,Unkn-08,8,35.91457265,45.89336932,36.22581799,0.440167389,14.18133588,
H05,HEX,Unkn-08,8,36.53706334,25.83793178,36.22581799,0.440167389,14.18133588,
H06,HEX,Unkn-16,16,33.47639072,435.4769186,33.54443857,0.096234201,36.3451483,
H07,HEX,Unkn-16,16,33.61248643,384.0771169,33.54443857,0.096234201,36.3451483,
H08,HEX,Unkn-24,24,37.98715998,6.77741127,37.87738295,0.155248166,1.076393423,
H09,HEX,Unkn-24,24,37.76760592,8.299661448,37.87738295,0.155248166,1.076393423,
